Order ID,Order Date,State,Region,Category,Product,Segment,Sales,Profit,Discount,Units Sold
8000,2023-07-05,Tamil Nadu,West,Electronics,Bose Headphones,Consumer,16289.13,1172.32,0.49,9
8001,2023-09-08,Delhi,South,Electronics,Tablet,Consumer,43505.67,4643.29,0.17,6
8002,2023-11-09,Karnataka,North,Home Appliances,Washing Machine,Consumer,1732.51,291.09,0.3,5
8003,2024-02-05,Telangana,South,Home Appliances,Washing Machine,Consumer,26408.92,3009.5,0.38,8
8004,2023-08-13,Telangana,South,Electronics,Bose Headphones,Corporate,41976.94,2935.67,0.38,2
8005,2023-05-04,Karnataka,West,Electronics,Laptop,Corporate,14494.63,1069.72,0.46,2
8006,2023-07-23,Maharashtra,East,Apparel,Jacket,Consumer,25445.78,3184.85,0.31,4
8007,2023-09-18,Delhi,South,Apparel,T-Shirt,Consumer,24726.43,1038.23,0.48,7
8008,2024-04-05,Telangana,South,Home Appliances,Washing Machine,Consumer,33132.05,4832.9,0.33,7
8009,2023-07-17,West Bengal,South,Apparel,Jeans,Corporate,7275.37,693.74,0.17,1
8010,2023-04-17,West Bengal,West,Apparel,Jacket,Corporate,23238.39,4582.9,0.06,7
8011,2024-02-26,Karnataka,East,Electronics,Bose Headphones,Corporate,43845.75,5473.33,0.14,5
8012,2024-04-21,Tamil Nadu,East,Apparel,Jeans,Corporate,25052.84,2757.91,0.24,8
8013,2023-08-19,Delhi,East,Apparel,T-Shirt,Consumer,9332.07,1776.22,0.2,1
8014,2024-04-20,Telangana,West,Electronics,Echo Dot,Consumer,29251.95,4782.71,0.22,1
8015,2023-12-08,Delhi,West,Home Appliances,Mixer,Corporate,11418.69,1270.36,0.28,1
8016,2024-07-30,Telangana,North,Home Appliances,Microwave,Consumer,10277.88,1554.02,0.22,5
8017,2023-10-26,West Bengal,East,Home Appliances,Mixer,Corporate,17497.86,1621.62,0.35,1
8018,2023-06-26,Delhi,West,Electronics,Tablet,Corporate,49965.2,4271.39,0.26,1
8019,2023-02-19,Telangana,North,Apparel,Jacket,Consumer,2429.38,198.6,0.49,5
8020,2024-04-06,Delhi,West,Electronics,Tablet,Corporate,17854.78,3778.12,0.09,9
8021,2023-08-19,Telangana,East,Home Appliances,Microwave,Corporate,11085.38,1843.52,0.16,1
8022,2024-02-11,Tamil Nadu,West,Apparel,Jacket,Consumer,10029.16,1033.54,0.18,5
8023,2023-05-02,Maharashtra,West,Electronics,Tablet,Corporate,22828.39,2951.96,0.14,8
8024,2023-03-10,Telangana,North,Apparel,Jacket,Consumer,27131.8,1976.38,0.26,7
8025,2023-04-15,Telangana,West,Apparel,Shoes,Consumer,705.93,37.64,0.07,8
